GARD:0000001 ! GRACILE syndrome	ORPHANET:53693	OMIM:603358 ! GRACILE syndrome
GARD:0010652 ! Cone-rod dystrophy X-linked 1	ORPHANET:1872	OMIM:304020 ! Cone-Rod Dystrophy, X-Linked, 1
GARD:0010653 ! Cone-rod dystrophy 3	ORPHANET:1872	OMIA:001520 ! Cone-rod dystrophy 3,OMIM:604116 ! Cone-Rod Dystrophy 3
GARD:0010653 ! Cone-rod dystrophy 3	UMLS:C1858806	OMIA:001520 ! Cone-rod dystrophy 3,OMIM:604116 ! Cone-Rod Dystrophy 3
GARD:0010654 ! Cone-rod dystrophy X-linked 3	ORPHANET:1872	OMIM:300476 ! Cone-Rod Dystrophy, X-Linked, 3
GARD:0010654 ! Cone-rod dystrophy X-linked 3	UMLS:C1845407	OMIM:300476 ! Cone-Rod Dystrophy, X-Linked, 3
GARD:0010655 ! Cone-rod dystrophy 5	ORPHANET:1872	DOID:0050572 ! cone-rod dystrophy,OMIM:600977 ! Cone-Rod Dystrophy 5
GARD:0010655 ! Cone-rod dystrophy 5	UMLS:C1832976	DOID:0050572 ! cone-rod dystrophy,OMIM:600977 ! Cone-Rod Dystrophy 5
GARD:0010656 ! Cone-rod dystrophy 6	ORPHANET:1872	OMIA:001929 ! Cone-rod dystrophy 6,OMIM:601777 ! Cone-Rod Dystrophy 6
GARD:0010656 ! Cone-rod dystrophy 6	UMLS:C1866293	OMIA:001929 ! Cone-rod dystrophy 6,OMIM:601777 ! Cone-Rod Dystrophy 6
GARD:0010657 ! Maturity-onset diabetes of the young,  type 2	ORPHANET:552	OMIM:125851 ! Maturity-Onset Diabetes of the Young, Type 2
GARD:0010657 ! Maturity-onset diabetes of the young,  type 2	UMLS:C1841962	OMIM:125851 ! Maturity-Onset Diabetes of the Young, Type 2
GARD:0010658 ! Maturity-onset diabetes of the young, type 3	ORPHANET:552	OMIM:600496 ! Maturity-Onset Diabetes of the Young, Type 3
GARD:0010658 ! Maturity-onset diabetes of the young, type 3	UMLS:C1838100	OMIM:600496 ! Maturity-Onset Diabetes of the Young, Type 3
GARD:0010659 ! Maturity-onset diabetes of the young, type 4	ORPHANET:552	OMIM:606392 ! Maturity-Onset Diabetes of the Young, Type 4
GARD:0010659 ! Maturity-onset diabetes of the young, type 4	UMLS:C1833382	OMIM:606392 ! Maturity-Onset Diabetes of the Young, Type 4
GARD:0010660 ! Maturity-onset diabetes of the young, type 6	ORPHANET:552	OMIM:606394 ! Maturity-Onset Diabetes of the Young, Type 6
GARD:0010660 ! Maturity-onset diabetes of the young, type 6	UMLS:C1853371	OMIM:606394 ! Maturity-Onset Diabetes of the Young, Type 6
GARD:0010661 ! Maturity-onset diabetes of the young, type 7	ORPHANET:552	OMIM:610508 ! Maturity-Onset Diabetes of the Young, Type 7
GARD:0010661 ! Maturity-onset diabetes of the young, type 7	UMLS:C1864839	OMIM:610508 ! Maturity-Onset Diabetes of the Young, Type 7
GARD:0010662 ! Maturity-onset diabetes of the young, type 8	ORPHANET:552	OMIM:609812 ! Maturity-Onset Diabetes of the Young, Type 8, With Exocrine Dysfunction
GARD:0010662 ! Maturity-onset diabetes of the young, type 8	UMLS:C1853297	OMIM:609812 ! Maturity-Onset Diabetes of the Young, Type 8, With Exocrine Dysfunction
GARD:0010663 ! Maturity-onset diabetes of the young, type 9	ORPHANET:552	OMIM:612225 ! Maturity-Onset Diabetes of the Young, Type 9
GARD:0010663 ! Maturity-onset diabetes of the young, type 9	UMLS:C2677132	OMIM:612225 ! Maturity-Onset Diabetes of the Young, Type 9
GARD:0010666 ! Dihydroxyadeninuria	UMLS:C0268120	OMIM:614723 ! adenine phosphoribosyltransferase deficiency
GARD:0010668 ! Cervical dystonia	UMLS:C0949445	DOID:0050840 ! cervical dystonia
GARD:0010671 ! Mucoepidermoid carcinoma	UMLS:C0206694	DOID:4531 ! mucoepidermoid carcinoma
GARD:0010674 ! Metachromatic leukodystrophy due to saposin B deficiency	UMLS:C0268262	OMIM:249900 ! Metachromatic Leukodystrophy Due to Saposin B Deficiency
GARD:0010675 ! Gaucher disease perinatal lethal	ORPHANET:85212	OMIM:608013 ! Gaucher Disease, Perinatal Lethal
GARD:0010675 ! Gaucher disease perinatal lethal	UMLS:C1842704	OMIM:608013 ! Gaucher Disease, Perinatal Lethal
GARD:0010676 ! Dehydrated hereditary stomatocytosis pseudohyperkalemia and perinatal edema	OMIM:603528	MESH:C566369 ! Dehydrated Hereditary Stomatocytosis, Pseudohyperkalemia, and Perinatal Edema
GARD:0010676 ! Dehydrated hereditary stomatocytosis pseudohyperkalemia and perinatal edema	UMLS:C1863769	MESH:C566369 ! Dehydrated Hereditary Stomatocytosis, Pseudohyperkalemia, and Perinatal Edema
GARD:0010679 ! Medullary cystic kidney disease 2	ORPHANET:34149	OMIM:603860 ! Medullary Cystic Kidney Disease 2
GARD:0010679 ! Medullary cystic kidney disease 2	UMLS:C1859040	OMIM:603860 ! Medullary Cystic Kidney Disease 2
GARD:0010680 ! Pseudohypoparathyroidism type 1B	ORPHANET:94089	OMIM:603233 ! Pseudohypoparathyroidism type 1B
GARD:0010681 ! Pseudohypoparathyroidism type 1C	ORPHANET:79444	OMIM:612462 ! Pseudohypoparathyroidism type 1C
GARD:0010682 ! Pseudohypoparathyroidism type 2	ORPHANET:94090	OMIM:203330 ! Pseudohypoparathyroidism type 2
GARD:0010683 ! Stargardt macular degeneration absent or hypoplastic corpus callosum mental retardation and dysmorphic features	UMLS:C2751864	OMIM:612948 ! Stargardt Macular Degeneration, Absent or Hypoplastic Corpus Callosum, Mental Retardation, and Dysmorphic Features
GARD:0010684 ! Primary lateral sclerosis	ORPHANET:35689	DOID:230 ! lateral sclerosis
GARD:0010684 ! Primary lateral sclerosis	UMLS:C0154682	DOID:230 ! lateral sclerosis
GARD:0010685 ! Chilaiditi syndrome	UMLS:C0267494	MESH:D059269 ! Chilaiditi Syndrome
GARD:0010686 ! Neuroferritinopathy	ORPHANET:157846	OMIM:606159 ! Neuroferritinopathy
GARD:0010687 ! Mungan syndrome	UMLS:C1969653	OMIM:611376 ! Mungan Syndrome
GARD:0010688 ! Karak syndrome	UMLS:C2750220	OMIM:610217 ! Neurodegeneration With Brain Iron Accumulation 2B
GARD:0010689 ! Megarbane Jalkh syndrome	UMLS:C2748555	OMIM:612785 ! Megarbane-Jalkh Syndrome
GARD:0010690 ! Idiopathic juxtafoveal retinal telangiectasia	UMLS:C2932677	MESH:C548027 ! Idiopathic Juxtafoveal Retinal Telangiectasia
GARD:0010691 ! Duane syndrome type 3	ORPHANET:233	DOID:12557 ! Duane retraction syndrome
GARD:0010695 ! Atrial septal defect ostium primum	OMIM:108800 ! Atrial Septal Defect 1	Orphanet:99106 ! Atrial septal defect, ostium primum type
GARD:0010695 ! Atrial septal defect ostium primum	ORPHANET:99106	Orphanet:99106 ! Atrial septal defect, ostium primum type
GARD:0010696 ! Atrial septal defect sinus venosus	ORPHANET:99105	Orphanet:99105 ! Atrial septal defect, sinus venosus type
GARD:0010697 ! Atrial septal defect coronary sinus	UMLS:C2063331	Orphanet:99104 ! Atrial septal defect, coronary sinus type
GARD:0010698 ! Noonan syndrome 2	ORPHANET:648	OMIM:605275 ! Noonan Syndrome 2
GARD:0010698 ! Noonan syndrome 2	UMLS:C1854469	OMIM:605275 ! Noonan Syndrome 2
GARD:0010699 ! Noonan syndrome 4	ORPHANET:648	OMIM:610733 ! Noonan Syndrome 4
GARD:0010699 ! Noonan syndrome 4	UMLS:C1853120	OMIM:610733 ! Noonan Syndrome 4
GARD:0010700 ! Noonan syndrome 5	ORPHANET:648	OMIM:611553 ! Noonan Syndrome 5
GARD:0010700 ! Noonan syndrome 5	UMLS:C1969057	OMIM:611553 ! Noonan Syndrome 5
GARD:0010701 ! Noonan syndrome 6	ORPHANET:648	OMIM:613224 ! Noonan Syndrome 6
GARD:0010701 ! Noonan syndrome 6	UMLS:C2750732	OMIM:613224 ! Noonan Syndrome 6
GARD:0010702 ! Gestational diabetes insipidus	UMLS:C2932666	MESH:C548014 ! Gestational Diabetes Insipidus
GARD:0010703 ! Dipsogenic diabetes insipidus	UMLS:C0268813	MESH:C548013 ! Dipsogenic Diabetes Insipidus
GARD:0010704 ! Pontocerebellar hypoplasia type 1	ORPHANET:2254	OMIM:607596 ! pontocerebellar hypoplasia type 1A,Orphanet:2254 ! Pontocerebellar hypoplasia type 1
GARD:0010705 ! Pontocerebellar hypoplasia type 2	ORPHANET:2524	OMIM:277470 ! pontocerebellar hypoplasia type 2A,Orphanet:2524 ! Pontocerebellar hypoplasia type 2
GARD:0010708 ! Pontocerebellar hypoplasia type 3	ORPHANET:97249	OMIM:608027 ! pontocerebellar hypoplasia type 3
GARD:0010708 ! Pontocerebellar hypoplasia type 3	UMLS:C1842687	OMIM:608027 ! pontocerebellar hypoplasia type 3
GARD:0010709 ! Pontocerebellar hypoplasia type 5	ORPHANET:166068	OMIM:610204 ! pontocerebellar hypoplasia type 5
GARD:0010709 ! Pontocerebellar hypoplasia type 5	UMLS:C1857762	OMIM:610204 ! pontocerebellar hypoplasia type 5
GARD:0010710 ! Pontocerebellar hypoplasia type 6	ORPHANET:166073	OMIM:611523 ! pontocerebellar hypoplasia type 6
GARD:0010710 ! Pontocerebellar hypoplasia type 6	UMLS:C1969084	OMIM:611523 ! pontocerebellar hypoplasia type 6
GARD:0010712 ! Progressive transformation of germinal centers	UMLS:C1514481	MESH:C548085 ! Progressive Transformation of Germinal Centers
GARD:0010714 ! Legius syndrome	ORPHANET:137605	OMIM:611431 ! Legius syndrome
GARD:0010716 ! 2-methyl-3-hydroxybutyric aciduria	ORPHANET:391417	OMIM:300438 ! 17-Beta-Hydroxysteroid Dehydrogenase 10 Deficiency,Orphanet:391417 ! HSD10 disease
GARD:0010716 ! 2-methyl-3-hydroxybutyric aciduria	UMLS:C1845517	OMIM:300438 ! 17-Beta-Hydroxysteroid Dehydrogenase 10 Deficiency,Orphanet:391417 ! HSD10 disease
GARD:0010717 ! Hydroxyprolinemia	UMLS:C0268531	OMIM:237000 ! Hydroxyprolinemia
GARD:0010719 ! Noonan-like syndrome with loose anagen hair	ORPHANET:2701	OMIM:607721 ! Noonan syndrome-like disorder with loose anagen hair
GARD:0010719 ! Noonan-like syndrome with loose anagen hair	UMLS:C1843181	OMIM:607721 ! Noonan syndrome-like disorder with loose anagen hair
GARD:0010720 ! Trichuriasis	UMLS:C0040954	DOID:1252 ! trichuriasis
GARD:0010726 ! Spondylocostal dysostosis 1	ORPHANET:2311	OMIM:277300 ! Spondylocostal Dysostosis 1, Autosomal Recessive
GARD:0010726 ! Spondylocostal dysostosis 1	UMLS:C0265343	OMIM:277300 ! Spondylocostal Dysostosis 1, Autosomal Recessive
GARD:0010727 ! Koolen de Vries syndrome	ORPHANET:96169	DOID:0050880 ! Koolen de Vries syndrome,OMIM:610443 ! Koolen-De Vries Syndrome
GARD:0010727 ! Koolen de Vries syndrome	UMLS:C1864871	DOID:0050880 ! Koolen de Vries syndrome,OMIM:610443 ! Koolen-De Vries Syndrome
GARD:0010729 ! Niemann-Pick disease type B	ORPHANET:77293	DOID:14504 ! Niemann-Pick disease,OMIM:607616 ! Niemann-Pick Disease, Type B
GARD:0010729 ! Niemann-Pick disease type B	UMLS:C0268243	DOID:14504 ! Niemann-Pick disease,OMIM:607616 ! Niemann-Pick Disease, Type B
GARD:0010730 ! Pyridoxal 5'-phosphate-dependent epilepsy	ORPHANET:79096	OMIM:610090 ! Pyridoxamine 5-Prime-Phosphate Oxidase Deficiency,Orphanet:79096 ! Pyridoxal phosphate-responsive seizures
GARD:0010730 ! Pyridoxal 5'-phosphate-dependent epilepsy	UMLS:C1864723	OMIM:610090 ! Pyridoxamine 5-Prime-Phosphate Oxidase Deficiency,Orphanet:79096 ! Pyridoxal phosphate-responsive seizures
GARD:0010731 ! McLeod neuroacanthocytosis syndrome	OMIM:314850	OMIM:300842 ! McLeod neuroacanthocytosis syndrome
GARD:0010731 ! McLeod neuroacanthocytosis syndrome	ORPHANET:59306	OMIM:300842 ! McLeod neuroacanthocytosis syndrome
GARD:0010731 ! McLeod neuroacanthocytosis syndrome	UMLS:C0398568	OMIM:300842 ! McLeod neuroacanthocytosis syndrome
GARD:0010739 ! Neuronal ceroid lipofuscinosis	ORPHANET:216	DOID:14503 ! neuronal ceroid lipofuscinosis,OMIA:000181-9615 ! Neuronal ceroid lipofuscinosis,OMIA:000181-9685 ! neuronal ceroid lipofuscinosis,OMIA:000181-9796 ! Neuronal ceroid lipofuscinosis,OMIA:000181-9913 ! Neuronal ceroid lipofuscinosis,OMIA:000181-9925 ! neuronal ceroid lipofuscinosis,OMIA:000181-9940 ! Neuronal ceroid lipofuscinosis
GARD:0010739 ! Neuronal ceroid lipofuscinosis	UMLS:C0027877	DOID:14503 ! neuronal ceroid lipofuscinosis,OMIA:000181-9615 ! Neuronal ceroid lipofuscinosis,OMIA:000181-9685 ! neuronal ceroid lipofuscinosis,OMIA:000181-9796 ! Neuronal ceroid lipofuscinosis,OMIA:000181-9913 ! Neuronal ceroid lipofuscinosis,OMIA:000181-9925 ! neuronal ceroid lipofuscinosis,OMIA:000181-9940 ! Neuronal ceroid lipofuscinosis
GARD:0010740 ! 16p11.2 deletion syndrome	OMIM:611913 ! Chromosome 16P11.2 Deletion Syndrome, 593-Kb	MESH:C579850 ! 16p11.2 Deletion Syndrome
GARD:0010740 ! 16p11.2 deletion syndrome	ORPHANET:261197	MESH:C579850 ! 16p11.2 Deletion Syndrome
GARD:0010744 ! Conjunctival melanoma	UMLS:C0346360	DOID:1751 ! malignant conjunctiva melanoma
GARD:0010747 ! Lupus nephritis	UMLS:C0024143	MESH:D008181 ! Lupus Nephritis
GARD:0010752 ! Epidermolysis bullosa simplex	OMIM:131760 ! Epidermolysis bullosa simplex, Dowling-Meara type	DOID:4644 ! epidermolysis bullosa simplex
GARD:0010752 ! Epidermolysis bullosa simplex	OMIM:131800 ! Localized epidermolysis bullosa simplex	DOID:4644 ! epidermolysis bullosa simplex
GARD:0010752 ! Epidermolysis bullosa simplex	OMIM:131900 ! Epidermolysis Bullosa Simplex, Generalized	DOID:4644 ! epidermolysis bullosa simplex
GARD:0010752 ! Epidermolysis bullosa simplex	OMIM:131960 ! Epidermolysis bullosa simplex with mottled pigmentation	DOID:4644 ! epidermolysis bullosa simplex
GARD:0010752 ! Epidermolysis bullosa simplex	ORPHANET:304	DOID:4644 ! epidermolysis bullosa simplex
GARD:0010753 ! Pachyonychia congenita	OMIM:615726 ! Pachyonychia Congenita 3	DOID:0050449 ! pachyonychia congenita,MESH:D053549 ! Pachyonychia Congenita
GARD:0010753 ! Pachyonychia congenita	OMIM:615728 ! Pachyonychia Congenita 4	DOID:0050449 ! pachyonychia congenita,MESH:D053549 ! Pachyonychia Congenita
GARD:0010753 ! Pachyonychia congenita	ORPHANET:2309	DOID:0050449 ! pachyonychia congenita,MESH:D053549 ! Pachyonychia Congenita
GARD:0010754 ! Chromosome 16p13.3 deletion syndrome	OMIM:610543 ! Chromosome 16P13.3 Deletion Syndrome, Proximal	MESH:C566433 ! Chromosome 16p13.3 Deletion Syndrome
GARD:0010756 ! Multiple epiphyseal dysplasia	OMIM:600969 ! Epiphyseal Dysplasia, Multiple, 3	DOID:12721 ! multiple epiphyseal dysplasia
GARD:0010756 ! Multiple epiphyseal dysplasia	ORPHANET:251	DOID:12721 ! multiple epiphyseal dysplasia
GARD:0010761 ! 2-Hydroxyglutaric aciduria	ORPHANET:19	DOID:0050573 ! 2-hydroxyglutaric aciduria,MESH:C535306 ! 2-Hydroxyglutaricaciduria
GARD:0010763 ! Duane syndrome type 1	ORPHANET:233	DOID:12557 ! Duane retraction syndrome,OMIM:126800 ! Duane Retraction Syndrome 1
GARD:0010764 ! Glycine N-methyltransferase deficiency	ORPHANET:289891	OMIM:606664 ! Glycine N-Methyltransferase Deficiency
GARD:0010766 ! Factor XIII deficiency	ORPHANET:331	DOID:2211 ! factor XIII deficiency,OMIA:001818 ! Factor XIII deficiency
GARD:0010767 ! MOGS-CDG (CDG-IIb)	ORPHANET:79330	OMIM:606056 ! Congenital Disorder of Glycosylation, Type Iib,Orphanet:79330 ! GCS1-CDG
GARD:0010768 ! Hemiplegic migraine	ORPHANET:569	DOID:0060178 ! familial hemiplegic migraine,Orphanet:569 ! Familial or sporadic hemiplegic migraine
GARD:0010769 ! Laing distal myopathy	ORPHANET:59135	OMIM:160500 ! Myopathy, Distal, 1,Orphanet:59135 ! Laing early-onset distal myopathy
GARD:0010771 ! Kallmann syndrome	ORPHANET:478	DOID:3614 ! Kallmann syndrome,MESH:D017436 ! Kallmann Syndrome
GARD:0010772 ! Kallmann syndrome 4	OMIM:610628 ! Hypogonadotropic Hypogonadism 4 With or Without Anosmia	MESH:C565696 ! Kallmann Syndrome 4
GARD:0010773 ! Kallmann syndrome 5	OMIM:612370 ! Hypogonadotropic Hypogonadism 5 With or Without Anosmia	MESH:C567220 ! Kallmann Syndrome 5
GARD:0010774 ! Kallmann syndrome 6	OMIM:612702 ! Hypogonadotropic Hypogonadism 6 With or Without Anosmia	MESH:C567199 ! Kallmann Syndrome 6
GARD:0010778 ! Neutrophil-specific granule deficiency	ORPHANET:169142	OMIM:245480 ! Specific Granule Deficiency,Orphanet:169142 ! Recurrent infection due to specific granule deficiency
GARD:0010779 ! Chronic lymphocytic inflammation with pontine perivascular enhancement responsive to steroids	ORPHANET:284448	Orphanet:284448 ! CLIPPERS
GARD:0010781 ! Goldmann-Favre syndrome	ORPHANET:53540	OMIM:268100 ! Goldmann-Favre syndrome
GARD:0010782 ! Stickler syndrome	OMIM:609508 ! Stickler Syndrome, Type I, Nonsyndromic Ocular	DOID:0080046 ! Stickler syndrome,OMIM:108300 ! Stickler Syndrome, Type 1
GARD:0010782 ! Stickler syndrome	ORPHANET:828	DOID:0080046 ! Stickler syndrome,OMIM:108300 ! Stickler Syndrome, Type 1
GARD:0010783 ! Bilateral frontal polymicrogyria	ORPHANET:208444	Orphanet:208444 ! Bilateral frontal polymicrogyria
GARD:0010784 ! Bilateral frontoparietal polymicrogyria	ORPHANET:101070	OMIM:606854 ! Bilateral frontoparietal polymicrogyria
GARD:0010785 ! Bilateral parasagittal parieto-occipital polymicrogyria	ORPHANET:208441	Orphanet:208441 ! Bilateral parasagittal parieto-occipital polymicrogyria
GARD:0010786 ! Bilateral generalized polymicrogyria	ORPHANET:208447	Orphanet:208447 ! Bilateral generalized polymicrogyria
GARD:0010788 ! Loeys-Dietz syndrome	ORPHANET:60030	DOID:0050466 ! Loeys-Dietz syndrome,OMIM:609192 ! Loeys-Dietz Syndrome 1
GARD:0010790 ! Cone-rod dystrophy	ORPHANET:1872	DOID:0050572 ! cone-rod dystrophy,OMIM:120970 ! Cone-Rod Dystrophy 2
GARD:0010791 ! Logopenic progressive aphasia	ORPHANET:250831	Orphanet:250831 ! Logopenic progressive aphasia
GARD:0010792 ! Semantic dementia	ORPHANET:100069	Orphanet:100069 ! Semantic dementia
GARD:0010793 ! Progressive non-fluent aphasia	ORPHANET:100070	Orphanet:100070 ! Progressive non-fluent aphasia
GARD:0010794 ! Paroxysmal hemicrania	ORPHANET:157835	Orphanet:157835 ! Paroxysmal hemicrania
GARD:0010801 ! Medullary cystic kidney disease	ORPHANET:34149	DOID:12712 ! nephronophthisis,OMIM:174000 ! Medullary Cystic Kidney Disease 1,Orphanet:34149 ! Autosomal dominant medullary cystic kidney disease with or without hyperuricemia
GARD:0010803 ! Lamellar ichthyosis	OMIM:146750 ! Ichthyosis, Lamellar, Autosomal Dominant	DOID:1699 ! congenital ichthyosiform erythroderma
GARD:0010803 ! Lamellar ichthyosis	OMIM:242300 ! Ichthyosis, Congenital, Autosomal Recessive 1	DOID:1699 ! congenital ichthyosiform erythroderma
GARD:0010803 ! Lamellar ichthyosis	OMIM:601277 ! Ichthyosis, Congenital, Autosomal Recessive 4A	DOID:1699 ! congenital ichthyosiform erythroderma
GARD:0010803 ! Lamellar ichthyosis	OMIM:604777 ! Ichthyosis, Congenital, Autosomal Recessive 5	DOID:1699 ! congenital ichthyosiform erythroderma
GARD:0010803 ! Lamellar ichthyosis	OMIM:606545 ! Ichthyosis, Congenital, Autosomal Recessive 3	DOID:1699 ! congenital ichthyosiform erythroderma
GARD:0010803 ! Lamellar ichthyosis	ORPHANET:313	DOID:1699 ! congenital ichthyosiform erythroderma
GARD:0010804 ! Metaplastic carcinoma of the breast	ORPHANET:213531	DOID:4680 ! breast metaplastic carcinoma
GARD:0010805 ! MYH-associated polyposis	OMIM:608456 ! Familial Adenomatous Polyposis, 2	OMIA:001390 ! Genetic-map
GARD:0010805 ! MYH-associated polyposis	ORPHANET:733	OMIA:001390 ! Genetic-map
GARD:0010806 ! PCDH19-related female-limited epilepsy	ORPHANET:101039	OMIM:300088 ! Epileptic Encephalopathy, Early Infantile, 9,Orphanet:101039 ! Female restricted epilepsy with intellectual disability
GARD:0010810 ! Fatty acid hydroxylase-associated neurodegeneration	ORPHANET:329308	MESH:C580102 ! Fatty Acid Hydroxylase-Associated Neurodegeneration,OMIM:612319 ! Autosomal recessive spastic paraplegia type 35,Orphanet:329308 ! Fatty acid hydroxylase-associated neurodegeneration
GARD:0010811 ! Chronic atypical neutrophilic dermatosis with lipodystrophy and elevated temperature	ORPHANET:325004	OMIM:256040 ! JMP syndrome,Orphanet:325004 ! CANDLE syndrome
GARD:0010813 ! 1q21.1 microdeletion syndrome	ORPHANET:250989	DOID:0060411 ! chromosome 1q21.1 deletion syndrome
GARD:0010814 ! Thyrotoxic periodic paralysis	OMIM:188580 ! Thyrotoxic Periodic Paralysis, Susceptibility To, 1	DC:0000438 ! Thyrotoxic Periodic Paralysis
GARD:0010814 ! Thyrotoxic periodic paralysis	ORPHANET:79102	DC:0000438 ! Thyrotoxic Periodic Paralysis
GARD:0010815 ! Prothrombin thrombophilia	OMIM:188050 ! Thrombophilia Due to Thrombin Defect	MESH:C566755 ! Hyperprothrombinemia
GARD:0010816 ! Lichen planus pigmentosus	ORPHANET:254463	Orphanet:254463 ! Lichen planus pigmentosus
GARD:0010817 ! Spastic paraplegia 31	ORPHANET:101011	OMIM:610250 ! Autosomal dominant spastic paraplegia type 31
GARD:0010821 ! Eastern equine encephalitis	ORPHANET:83594	DOID:10841 ! Eastern equine encephalitis
GARD:0010823 ! Proopiomelanocortin deficiency	ORPHANET:71526	OMIM:609734 ! Proopiomelanocortin Deficiency
GARD:0010824 ! ACTH-independent macronodular adrenal hyperplasia	ORPHANET:189427	OMIM:219080 ! Acth-Independent Macronodular Adrenal Hyperplasia,OMIM:615954 ! Acth-Independent Macronodular Adrenal Hyperplasia 2,Orphanet:189427 ! ACTH-independent macronodular adrenal hyperplasia
GARD:0010828 ! Familial hypocalciuric hypercalcemia	OMIM:145981 ! Familial hypocalciuric hypercalcemia type 2	DC:0000209 ! Hypocalciuric Hypercalcemia,OMIM:145980 ! Familial hypocalciuric hypercalcemia type 1
GARD:0010828 ! Familial hypocalciuric hypercalcemia	OMIM:600740 ! Familial hypocalciuric hypercalcemia type 3	DC:0000209 ! Hypocalciuric Hypercalcemia,OMIM:145980 ! Familial hypocalciuric hypercalcemia type 1
GARD:0010828 ! Familial hypocalciuric hypercalcemia	ORPHANET:405	DC:0000209 ! Hypocalciuric Hypercalcemia,OMIM:145980 ! Familial hypocalciuric hypercalcemia type 1
GARD:0010829 ! Hyperparathyroidism-jaw tumor syndrome	ORPHANET:99880	OMIM:145001 ! Hyperparathyroidism 2,Orphanet:99880 ! Hyperparathyroidism-jaw tumor syndrome
GARD:0010830 ! Nevus of Ito	ORPHANET:263432	Orphanet:263432 ! Nevus of Ito
GARD:0010855 ! Ring chromosome 16	ORPHANET:96178	Orphanet:96178 ! Ring chromosome 16
GARD:0010860 ! Chromosome 21q deletion	ORPHANET:574	Orphanet:574 ! Monosomy 21
GARD:0010866 ! Proximal chromosome 18q deletion syndrome	ORPHANET:1600	OMIM:601808 ! chromosome 18q deletion syndrome
GARD:0010867 ! Multiple familial trichoepithelioma	OMIM:612099 ! Trichoepithelioma, Multiple Familial, 2	DC:0000442 ! Trichoepithelioma, Multiple Familial,OMIM:601606 ! Trichoepithelioma, Multiple Familial, 1
GARD:0010867 ! Multiple familial trichoepithelioma	ORPHANET:867	DC:0000442 ! Trichoepithelioma, Multiple Familial,OMIM:601606 ! Trichoepithelioma, Multiple Familial, 1
GARD:0010872 ! Malignant peripheral nerve sheath tumor	ORPHANET:3148	DOID:5940 ! malignant peripheral nerve sheath tumor
GARD:0010874 ! Pancreatic agenesis	ORPHANET:2805	DOID:0050877 ! pancreatic agenesis
GARD:0010876 ! Congenital radio-ulnar synostosis	ORPHANET:3269	OMIM:179300 ! radioulnar synostosis
GARD:0010877 ! Familial tumoral calcinosis	ORPHANET:53715	DC:0000445 ! Tumoral Calcinosis
GARD:0010886 ! Frontal fibrosing alopecia	ORPHANET:254492	Orphanet:254492 ! Frontal fibrosing alopecia
GARD:0010887 ! Osteofibrous dysplasia	ORPHANET:435329	OMIM:607278 ! Osteofibrous Dysplasia
GARD:0010889 ! Hereditary angiopathy with nephropathy, aneurysms, and muscle cramps syndrome	ORPHANET:73229	OMIM:611773 ! Angiopathy, Hereditary, With Nephropathy, Aneurysms, and Muscle Cramps,Orphanet:73229 ! Autosomal dominant familial hematuria - retinal arteriolar tortuosity - contractures
GARD:0010890 ! Non-involuting congenital hemangioma	ORPHANET:141179	Orphanet:141179 ! Non-involuting congenital hemangioma
GARD:0010891 ! GM1 gangliosidosis	ORPHANET:354	DOID:3322 ! gangliosidosis GM1,OMIA:000402 ! Gangliosidosis, GM1
GARD:0010892 ! Blepharophimosis intellectual disability syndromes	OMIM:249620 ! Ohdo Syndrome	OMIM:603736 ! blepharophimosis-intellectual disability syndrome, SBBYS type,Orphanet:293642 ! Blepharophimosis-intellectual disability syndrome
GARD:0010892 ! Blepharophimosis intellectual disability syndromes	ORPHANET:293642	OMIM:603736 ! blepharophimosis-intellectual disability syndrome, SBBYS type,Orphanet:293642 ! Blepharophimosis-intellectual disability syndrome
GARD:0010898 ! Acquired pure red cell aplasia	ORPHANET:98872	Orphanet:98872 ! Adult pure red cell aplasia
GARD:0010899 ! Inclusion body myopathy with early-onset Paget disease and frontotemporal dementia	ORPHANET:52430	DOID:0050881 ! inclusion body myopathy with Paget disease of bone and frontotemporal dementia,OMIM:167320 ! Inclusion Body Myopathy With Early-Onset Paget Disease With or Without Frontotemporal Dementia 1
GARD:0010900 ! Hereditary diffuse gastric cancer	ORPHANET:26106	OMIM:137215 ! Gastric Cancer, Hereditary Diffuse
GARD:0010902 ! Neuroacanthocytosis	ORPHANET:263440	DOID:0050765 ! neuroacanthocytosis,OMIM:200150 ! Choreoacanthocytosis
GARD:0010903 ! Brachyolmia	ORPHANET:1293	DOID:0050690 ! brachyolmia
GARD:0010905 ! Dyskeratosis congenita	OMIM:613987 ! Dyskeratosis Congenita, Autosomal Recessive, 2	DOID:2729 ! dyskeratosis congenita,OMIM:300067 ! Lissencephaly, X-Linked, 1
GARD:0010905 ! Dyskeratosis congenita	ORPHANET:1775	DOID:2729 ! dyskeratosis congenita,OMIM:300067 ! Lissencephaly, X-Linked, 1
GARD:0010906 ! Primary pigmented nodular adrenocortical disease	ORPHANET:189439	DOID:0060280 ! primary pigmented nodular adrenocortical disease
GARD:0010909 ! Adult-onset vitelliform macular dystrophy	ORPHANET:99000	OMIM:608161 ! Macular Dystrophy, Vitelliform, 3,Orphanet:99000 ! Adult-onset foveomacular vitelliform dystrophy
GARD:0010910 ! Condensing osteitis of the clavicle	ORPHANET:57196	Orphanet:57196 ! Medial condensing osteitis of the clavicle
