GARD:0000004 ! Acanthocheilonemiasis	MESH:D063485 ! Acanthocheilonemiasis
GARD:0007683 ! Spleen neoplasm	DOID:672 ! spleen cancer
GARD:0007684 ! Splenomegaly	MESH:D013163 ! Splenomegaly
GARD:0007692 ! Sporotrichosis	DOID:14484 ! sporotrichosis
GARD:0007704 ! Stomach carcinoma	DOID:5517 ! stomach carcinoma
GARD:0007712 ! Superior mesenteric artery syndrome	DOID:3557 ! superior mesenteric artery syndrome
GARD:0007714 ! Sutton disease 2	MESH:C538145 ! Sutton disease 2
GARD:0007716 ! Sydenham's chorea	OMIM:614588 ! Primary dystonia, DYT21 type
GARD:0007716 ! Sydenham's chorea	Orphanet:306731 ! Sydenham chorea
GARD:0007722 ! Synovitis	DOID:2703 ! synovitis
GARD:0007733 ! Tarsal tunnel syndrome	DOID:12526 ! tarsal tunnel syndrome
GARD:0007741 ! Telencephalic leukoencephalopathy	MESH:C536954 ! Telencephalic leukoencephalopathy
GARD:0007744 ! Malignant Teratocarcinosarcoma	MESH:C535701 ! Malignant Teratocarcinosarcoma
GARD:0007771 ! Tick paralysis	DOID:11285 ! tick paralysis
GARD:0007776 ! Togaviridae disease	MESH:D014036 ! Togaviridae Infections
GARD:0007779 ! Tongue cancer	DOID:8649 ! tongue cancer
GARD:0007791 ! Tracheobronchomalacia	MESH:D055089 ! Tracheobronchomalacia
GARD:0007794 ! Transitional cell carcinoma	DOID:2671 ! transitional cell carcinoma
GARD:0007824 ! Tropical sprue	DOID:10607 ! tropical sprue
GARD:0007826 ! Trypanosomiasis, Human East-African	DOID:10112 ! sleeping sickness
GARD:0007833 ! Typhus	DOID:0050481 ! endemic typhus
GARD:0007833 ! Typhus	DOID:11254 ! Brill-Zinsser disease
GARD:0007833 ! Typhus	DOID:11256 ! typhus
GARD:0007836 ! Urachal cancer	MESH:C536475 ! Urachal cancer
GARD:0007853 ! Ventricular septal defects	DOID:1657 ! ventricular septal defect
GARD:0007875 ! Wallerian degeneration	MESH:D014855 ! Wallerian Degeneration
GARD:0007877 ! Watermelon stomach	MESH:C538665 ! Watermelon stomach disease
GARD:0007881 ! Leptospirosis	DOID:2297 ! leptospirosis
GARD:0007888 ! Western equine encephalitis	DOID:10843 ! Western equine encephalitis
GARD:0007889 ! Whipple disease	DOID:8476 ! Whipple disease
GARD:0007913 ! Yaws	DOID:10371 ! yaws
GARD:0007914 ! Yellow fever	DOID:9682 ! yellow fever
GARD:0007919 ! Zuska's disease	MESH:C536730 ! Zuska's Disease
GARD:0007922 ! Muscular dystrophy	DOID:9884 ! muscular dystrophy
GARD:0008155 ! 4-hydroxyphenylacetic aciduria	MESH:C535315 ! 4-hydroxyphenylacetic aciduria
GARD:0008156 ! Adenomyosis	OMIM:600458 ! Adenomyosis
GARD:0008157 ! Anthrax	DOID:7427 ! anthrax disease
GARD:0008158 ! Cutaneous anthrax	DOID:7426 ! cutaneous anthrax
GARD:0008165 ! Megalocytic interstitial nephritis	MESH:C536144 ! Megalocytic interstitial nephritis
GARD:0008167 ! Palmoplantar keratoderma	DOID:3390 ! palmoplantar keratosis
GARD:0008170 ! Severe infantile axonal neuropathy	MESH:C537593 ! Severe infantile axonal neuropathy
GARD:0008172 ! Transient global amnesia	DOID:13027 ! transient global amnesia
GARD:0008192 ! Uveal diseases	DOID:3480 ! uveal disease
GARD:0008194 ! Cysticercosis	DOID:10079 ! cysticercosis
GARD:0008195 ! Strongyloidiasis	DOID:10955 ! strongyloidiasis
GARD:0008195 ! Strongyloidiasis	DOID:7457 ! enterobiasis
GARD:0008196 ! Spirurida Infections	MESH:D017205 ! Spirurida Infections
GARD:0008200 ! Secernentea Infections	MESH:D017190 ! Secernentea Infections
GARD:0008203 ! Rhabditida Infections	MESH:D017196 ! Rhabditida Infections
GARD:0008207 ! Pineocytoma	Orphanet:251912 ! Pineocytoma
GARD:0008211 ! Neurofibrosarcoma	DOID:3512 ! neurofibrosarcoma
GARD:0008216 ! Mansonelliasis	DOID:1081 ! mansonelliasis
GARD:0008219 ! Lymphoma, large-cell, immunoblastic	MESH:D016400 ! Lymphoma, Large-Cell, Immunoblastic
GARD:0008220 ! Lymphoma, large-cell	DOID:8538 ! reticulosarcoma
GARD:0008221 ! Lymphoma AIDSrelated	MESH:D016483 ! Lymphoma, AIDS-Related
GARD:0008223 ! B cell prolymphocytic leukemia	Orphanet:86852 ! B-cell prolymphocytic leukemia
GARD:0008224 ! Leukemia, T-cell, chronic	DOID:715 ! T-cell leukemia
GARD:0008225 ! Chronic myelomonocytic leukemia	OMIM:607785 ! juvenile myelomonocytic leukemia
GARD:0008225 ! Chronic myelomonocytic leukemia	Orphanet:98823 ! Chronic myelomonocytic leukemia
GARD:0008226 ! Leukemia, Myeloid	DOID:8692 ! myeloid leukemia
GARD:0008229 ! Portal hypertension	DOID:10762 ! portal hypertension
GARD:0008231 ! Histiocytosis, Non-Langerhans-Cell	DOID:4330 ! non-langerhans-cell histiocytosis
GARD:0008235 ! Esotropia	DOID:9840 ! esotropia
GARD:0008236 ! Drug induced dyskinesia	MESH:D004409 ! Dyskinesia, Drug-Induced
GARD:0008242 ! 5-Nucleotidase syndrome	MESH:C535321 ! 5-Nucleotidase syndrome
GARD:0008244 ! Brain stem cancer	DOID:4203 ! brain stem cancer
GARD:0008250 ! AIDS Dementia Complex	MESH:D015526 ! AIDS Dementia Complex
GARD:0008252 ! Hyperadrenalism	DOID:3947 ! adrenal gland hyperfunction
GARD:0008254 ! Omsk hemorrhagic fever	DOID:992 ! Omsk hemorrhagic fever
GARD:0008257 ! Kyasanur Forest disease	DOID:11320 ! Kyasanur forest disease
GARD:0008259 ! Plummer Vinson syndrome	Orphanet:54028 ! Plummer-Vinson syndrome
GARD:0008270 ! Kocher-Debre-Semelaigne syndrome	MESH:C537211 ! Kocher-Debre-Semelaigne syndrome
GARD:0008317 ! Dendritic cell tumor	Orphanet:98289 ! Dendritic cell tumor
GARD:0008322 ! Diabetic mastopathy	MESH:C537524 ! Sclerosing lymphocytic lobulitis
GARD:0008326 ! Yusho Disease	MESH:C536720 ! Yusho Disease
GARD:0008355 ! Kaolin pneumoconiosis	DOID:10331 ! kaolin pneumoconiosis
GARD:0008356 ! Coal worker's pneumoconiosis	DOID:10327 ! anthracosis
GARD:0008356 ! Coal worker's pneumoconiosis	Orphanet:182101 ! Idiopathic eosinophilic pneumonia
GARD:0008371 ! Baritosis	DOID:10321 ! baritosis
GARD:0008372 ! Silicosiderosis	MESH:C537337 ! Silicosiderosis
GARD:0008382 ! 2-Methylacetoacetyl CoA thiolase deficiency	MESH:C535307 ! 2-Methylacetoacetyl CoA thiolase deficiency
GARD:0008394 ! Hypolipoproteinemia	DOID:1387 ! hypolipoproteinemia
GARD:0008400 ! Galactorrhoea-Hyperprolactinaemia	MESH:C535402 ! Galactorrhea-Hyperprolactinemia
GARD:0008401 ! Galactocele	DOID:10686 ! lactocele
GARD:0008402 ! Pseudopolycythaemia	DOID:10780 ! primary polycythemia
GARD:0008402 ! Pseudopolycythaemia	DOID:2838 ! stress polycythemia
GARD:0008402 ! Pseudopolycythaemia	OMIM:133100 ! Polycythemia, primary familial and congenital
GARD:0008403 ! Supranuclear ocular palsy	DOID:12445 ! conjugate gaze palsy
GARD:0008437 ! Glassy cell carcinoma of the cervix	MESH:C536823 ! Glassy cell carcinoma of the cervix
GARD:0008444 ! Keratoconjunctivitis sicca	DOID:12895 ! keratoconjunctivitis sicca
GARD:0008445 ! Giant papillary conjunctivitis	DOID:2457 ! giant papillary conjunctivitis
GARD:0008446 ! Conjunctivitis with Pseudomembrane	DOID:11190 ! pseudomembranous conjunctivitis
GARD:0008452 ! Tiche-Jadassohn nevus	MESH:D018329 ! Nevus, Blue
GARD:0008487 ! Infantile digital fibromatosis	Orphanet:199267 ! Infantile digital fibromatosis
GARD:0008513 ! Retroperitoneal liposarcoma	MESH:C538370 ! Retroperitoneal liposarcoma
GARD:0008516 ! Familial myelofibrosis	DOID:4971 ! myelofibrosis
GARD:0008516 ! Familial myelofibrosis	OMIM:254450 ! Familial myelofibrosis
GARD:0008522 ! Capillary hemangioblastoma	DOID:5241 ! hemangioblastoma
GARD:0008534 ! Eosinophilic pustular folliculitis	MESH:C535953 ! Eosinophilic pustular folliculitis
GARD:0008558 ! Burning mouth syndrome type 3	MESH:C537413 ! Burning mouth syndrome- Type 3
GARD:0008561 ! Kousseff Nichols syndrome	MESH:C537504 ! Kousseff Nichols syndrome
GARD:0008565 ! Radiation induced brachial plexopathy	MESH:C536265 ! Radiation induced brachial plexopathy
GARD:0008568 ! Acinic cell carcinoma	DOID:3025 ! acinar cell carcinoma
GARD:0008577 ! Panuveitis	DOID:12030 ! panuveitis
GARD:0008577 ! Panuveitis	OMIM:134200 ! Familial recurrent peripheral facial palsy
GARD:0008580 ! Warfarin syndrome	MESH:C536683 ! Warfarin syndrome
GARD:0008582 ! Autoimmune Inner Ear disease	OMIM:300600 ! Aland Island eye disease
GARD:0008584 ! Calabro syndrome	MESH:C537960 ! Calabro syndrome
GARD:0008589 ! Coffin syndrome 1	MESH:C536435 ! Coffin syndrome 1
GARD:0008604 ! Acanthoma	DOID:174 ! acanthoma
GARD:0008610 ! Harlequin syndrome	Orphanet:199282 ! Harlequin syndrome
GARD:0008612 ! Primary hyperparathyroidism	DOID:11202 ! primary hyperparathyroidism
GARD:0008620 ! Glomus vagale tumors	OMIM:138000 ! Glomus vagale tumors
GARD:0008622 ! Good syndrome	DOID:0060028 ! Good syndrome
GARD:0008623 ! Halal syndrome	Orphanet:2521 ! Microcephaly - cleft palate
GARD:0008627 ! Krukenberg carcinoma	DOID:9597 ! Krukenberg carcinoma
GARD:0008630 ! Chromosome 10q duplication	MESH:C537804 ! Chromosome 10q duplication syndrome
GARD:0008635 ! 2-hydroxyethyl methacrylate sensitization	MESH:C535305 ! 2-hydroxyethyl methacrylate sensitization
GARD:0008638 ! Acute biphenotypic leukemia	Orphanet:86851 ! Acute leukemia of ambiguous lineage
GARD:0008638 ! Acute biphenotypic leukemia	Orphanet:86852 ! B-cell prolymphocytic leukemia
GARD:0008638 ! Acute biphenotypic leukemia	Orphanet:98837 ! Acute biphenotypic leukemia
GARD:0008640 ! Acute zonal occult outer retinopathy	Orphanet:284454 ! Acute zonal occult outer retinopathy
GARD:0008642 ! Granulosa cell tumor of the ovary	MESH:C537296 ! Granulosa cell tumor of the ovary
GARD:0008646 ! Aneurysmal bone cysts	OMIM:606179 ! Bone Cysts, Aneurysmal
GARD:0008649 ! Benign eccrine spiradenoma	DOID:5444 ! spiradenoma
GARD:0008651 ! Enlarged vestibular aqueduct syndrome	DOID:0050332 ! enlarged vestibular aqueduct
GARD:0008651 ! Enlarged vestibular aqueduct syndrome	OMIM:600791 ! Enlarged Vestibular Aqueduct
GARD:0008684 ! Symmastia	MESH:C538147 ! Symmastia
GARD:0008689 ! Autoimmune enteropathy	Orphanet:94075 ! Severe immune-mediated enteropathy
GARD:0008692 ! Whooping cough	DOID:1116 ! pertussis
GARD:0008706 ! Stewart Treves syndrome	MESH:C537491 ! Stewart Treves syndrome
GARD:0008708 ! Amyloid neuropathy	MESH:D017772 ! Amyloid Neuropathies
GARD:0008729 ! Neurosyphilis	MESH:D009494 ! Neurosyphilis
GARD:0008730 ! Syphilitic myelopathy	DOID:10027 ! tabes dorsalis
GARD:0008731 ! Syphilitic aseptic meningitis	DOID:10073 ! syphilitic meningitis
GARD:0008749 ! Central pontine myelinolysis	DOID:636 ! central pontine myelinolysis
GARD:0008761 ! Keshan disease	DOID:0050083 ! Keshan disease
GARD:0009134 ! Congenital myotonic dystrophy	OMIM:160900 ! myotonic dystrophy type 1
GARD:0009139 ! Autoimmune progesterone dermatitis	MESH:C535299 ! Autoimmune progesterone dermatitis
GARD:0009142 ! Eosinophilic enteropathy	DOID:4030 ! eosinophilic gastritis
GARD:0009142 ! Eosinophilic enteropathy	DOID:4031 ! eosinophilic gastroenteritis
GARD:0009162 ! Fallopian tube cancer	DOID:1963 ! fallopian tube carcinoma
GARD:0009162 ! Fallopian tube cancer	DOID:1964 ! fallopian tube cancer
GARD:0009213 ! Alsing syndrome	MESH:C536588 ! Alsing syndrome
GARD:0009216 ! Baetz-Greenwalt syndrome	MESH:C537795 ! Baetz-Greenwalt syndrome
GARD:0009219 ! Atlanto-Axial Fusion	MESH:C538196 ! Atlanto-Axial Fusion
GARD:0009220 ! Astley-Kendall syndrome	Orphanet:85175 ! Astley-Kendall dysplasia
GARD:0009220 ! Astley-Kendall syndrome	Orphanet:85179 ! Infantile osteopetrosis with neuroaxonal dysplasia
GARD:0009223 ! Arena syndrome	MESH:C537428 ! Arena syndrome
GARD:0009237 ! SARS	DOID:2945 ! severe acute respiratory syndrome
GARD:0009238 ! West nile virus	OMIM:610379 ! West Nile Virus, Susceptibility to
GARD:0009247 ! Primary effusion lymphoma	Orphanet:48686 ! Primary effusion lymphoma
GARD:0009249 ! Sinonasal undifferentiated carcinoma	MESH:C537344 ! Sinonasal undifferentiated carcinoma
GARD:0009253 ! Absence of septum pellucidum	MESH:C535562 ! Absence of septum pellucidum
GARD:0009257 ! SUNCT headache	Orphanet:57145 ! SUNCT syndrome
GARD:0009260 ! Erythema nodosum, idiopathic	MESH:C535511 ! Erythema nodosum, idiopathic
GARD:0009261 ! Boerhaave syndrome	MESH:C536571 ! Boerhaave syndrome
GARD:0009262 ! Paraquat lung	MESH:C537171 ! Paraquat lung
GARD:0009263 ! Wallenberg syndrome	DOID:3522 ! lateral medullary syndrome
GARD:0009264 ! Superior vena cava syndrome	MESH:D013479 ! Superior Vena Cava Syndrome
GARD:0009272 ! Cluttering	MESH:C538446 ! Speech disturbance - use of faulty phrasing and unrelated words
GARD:0009281 ! Atypical mole syndrome	DOID:10041 ! dysplastic nevus syndrome
GARD:0009282 ! White platelet syndrome	Orphanet:370131 ! White platelet syndrome
GARD:0009285 ! Acanthamoeba keratitis	Orphanet:67043 ! Acanthamoeba keratitis
GARD:0009286 ! Gnathostoma Infection	DOID:11379 ! gnathomiasis
GARD:0009290 ! Schizotaxia	MESH:C536634 ! Schizotaxia
GARD:0009300 ! Anal cancer	DOID:14110 ! anus cancer
GARD:0009300 ! Anal cancer	DOID:4551 ! anus neoplasm
GARD:0009302 ! Cerebral astrocytoma, childhood	DOID:7007 ! childhood cerebral astrocytoma
GARD:0009306 ! Brain stem glioma, childhood	DOID:6383 ! childhood brain stem glioma
GARD:0009307 ! Brain tumor, adult	DOID:1319 ! brain cancer
GARD:0009312 ! Breast cancer, male	DOID:1614 ! male breast cancer
GARD:0009312 ! Breast cancer, male	OMIM:114480 ! Breast Cancer, Familial
GARD:0009318 ! Central nervous system lymphoma, primary	DOID:3234 ! central nervous system lymphoma
GARD:0009325 ! Extragonadal germ cell tumor	DOID:4717 ! extragonadal germ cell cancer
GARD:0009328 ! Gallbladder cancer	DOID:3121 ! gallbladder cancer
GARD:0009328 ! Gallbladder cancer	DOID:4948 ! gallbladder carcinoma
GARD:0009334 ! Hypopharyngeal cancer	DOID:8533 ! hypopharynx cancer
GARD:0009348 ! Vaginal cancer	DOID:119 ! vaginal cancer
GARD:0009349 ! Vulvar cancer	DOID:1245 ! vulva cancer
GARD:0009350 ! Medulloblastoma, childhood	DOID:3869 ! childhood medulloblastoma
GARD:0009358 ! Oropharyngeal cancer, adult	DOID:8557 ! oropharynx cancer
GARD:0009363 ! Ovarian low malignant potential tumor	Orphanet:206473 ! Borderline epithelial tumor of ovary
GARD:0009366 ! Penile cancer, adult	DOID:3449 ! penis carcinoma
GARD:0009369 ! Pineoblastoma	DOID:1664 ! pineoblastoma
GARD:0009371 ! Pituitary cancer	DOID:1785 ! pituitary cancer
GARD:0009385 ! Small intestine cancer	DOID:10154 ! small intestine cancer
GARD:0009394 ! Acute cholinergic dysautonomia	MESH:C535672 ! Acute cholinergic dysautonomia
GARD:0009397 ! Brenner tumor of ovary	DOID:2636 ! ovarian Brenner tumor
GARD:0009398 ! Sarcoma botryoides	DOID:3255 ! botryoid rhabdomyosarcoma
GARD:0009399 ! Glucagonoma syndrome	Orphanet:97280 ! Glucagonoma
GARD:0009401 ! Eagle syndrome	MESH:C538010 ! Eagle syndrome
GARD:0009404 ! Phyllodes tumor of the prostate	DOID:2885 ! benign prostate phyllodes tumor
GARD:0009405 ! Prostatic stromal proliferation of uncertain malignant potential	MESH:C537245 ! Prostatic stromal proliferation of uncertain malignant potential
GARD:0009408 ! Secretory breast carcinoma	DOID:4922 ! breast secretory carcinoma
GARD:0009410 ! Pseudoangiomatous stromal hyperplasia	Orphanet:289478 ! Pyoderma gangrenosum - acne - suppurative hidradenitis
GARD:0009419 ! Rokitansky-Aschoff sinuses of the gallbladder	MESH:C535869 ! Rokitansky-Aschoff sinuses of the gallbladder
GARD:0009423 ! Familial capillaro-venous leptomeningeal angiomatosis	MESH:C536609 ! Familial capillaro-venous leptomeningeal angiomatosis
GARD:0009433 ! Organic acidemia	DOID:0060159 ! organic acidemia
GARD:0009440 ! Psychosocial short stature	MESH:C535569 ! Abuse dwarfism syndrome
GARD:0009441 ! Severe mental retardation and absent nails of hallux and pollex	OMIM:611816 ! Temple-Baraitser Syndrome
GARD:0009444 ! Marburg hemorrhagic fever	DOID:12287 ! Crimean-Congo hemorrhagic fever
GARD:0009444 ! Marburg hemorrhagic fever	DOID:4327 ! Marburg hemorrhagic fever
GARD:0009445 ! Reactive angioendotheliomatosis	Orphanet:100057 ! Renin-angiotensin-aldosterone system-blocker-induced angioedema
GARD:0009449 ! WaterhousePFriderichsen syndrome	MESH:C536685 ! Fatal pneumococcal Waterhouse-Friderichsen syndrome
GARD:0009451 ! Xanthogranulomatous cholecystitis	DOID:9766 ! xanthogranulomatous cholecystitis
GARD:0009459 ! Tracheal agenesis without tracheoesophageal fistula	MESH:C536976 ! Tracheal agenesis without tracheoesophageal fistula
GARD:0009461 ! Autoimmune oophoritis	MESH:C538274 ! Autoimmune oophoritis
GARD:0009470 ! Amyotrophic lateral sclerosis type 2	OMIM:205100 ! amyotrophic lateral sclerosis type 2
GARD:0009473 ! Peroxisomal biogenesis disorders	DOID:905 ! Zellweger syndrome
GARD:0009473 ! Peroxisomal biogenesis disorders	OMIM:266510 ! Peroxisome biogenesis disorders
GARD:0009477 ! Anaplastic small cell lymphoma	MESH:C538255 ! Anaplastic small cell lymphoma
GARD:0009485 ! Primary open angle glaucoma juvenile onset 1	OMIM:137750 ! Glaucoma 1, Open Angle, A
GARD:0009514 ! Cystosarcoma phyllodes	DOID:1631 ! benign breast phyllodes tumor
GARD:0009516 ! Febrile Ulceronecrotic Mucha-Habermann disease	MESH:C537077 ! Febrile Ulceronecrotic Mucha-Habermann disease
GARD:0009522 ! Chancroid	DOID:13778 ! chancroid
GARD:0009525 ! Coccidioidomycosis	DOID:13450 ! coccidioidomycosis
GARD:0009526 ! Complement component deficiency	DC:0000094 ! Complement Component Deficiency
GARD:0009528 ! Cyclosporiasis	DOID:12750 ! cyclosporiasis
GARD:0009531 ! Cytomegalovirus retinitis	MESH:D017726 ! Cytomegalovirus Retinitis
GARD:0009532 ! Granuloma Inguinale	DOID:9113 ! granuloma inguinale
GARD:0009536 ! Glanders	DOID:13444 ! glanders
GARD:0009541 ! Hepatitis E	DOID:4411 ! hepatitis E
GARD:0009545 ! Lymphogranuloma venereum	DOID:13819 ! lymphogranuloma venereum
GARD:0009547 ! Meningococcal infection	MESH:D008589 ! Meningococcal Infections
GARD:0009550 ! Variant Creutzfeldt-Jakob disease	DOID:5435 ! variant Creutzfeldt-Jakob disease
GARD:0009550 ! Variant Creutzfeldt-Jakob disease	OMIM:123400 ! Creutzfeldt-Jakob disease
GARD:0009551 ! Bronchiolitis obliterans	DOID:2799 ! bronchiolitis obliterans
GARD:0009553 ! Post-transplant lymphoproliferative disease	Orphanet:70568 ! Posttransplant lymphoproliferative disease
GARD:0009554 ! Primary amebic meningoencephalitis	DOID:0050242 ! primary amebic meningoencephalitis
GARD:0009554 ! Primary amebic meningoencephalitis	Orphanet:612 ! Potassium-aggravated myotonia
GARD:0009557 ! Rat bite fever	Orphanet:31205 ! Rat-bite fever
GARD:0009559 ! Staphylococcal food poisoning	DOID:96 ! staphyloenterotoxemia
GARD:0009563 ! Neonatal systemic lupus erythematosus	Orphanet:398124 ! Neonatal lupus erythematosus
GARD:0009564 ! Typhoid fever	DOID:13258 ! typhoid fever
GARD:0009570 ! Acral lentiginous melanoma	DOID:6367 ! acral lentiginous melanoma
GARD:0009573 ! Collecting duct carcinoma	DOID:4464 ! collecting duct carcinoma
GARD:0009574 ! Clear cell renal cell carcinoma	DOID:4467 ! renal clear cell carcinoma
GARD:0009579 ! Human spumaretrovirus infection	MESH:C536069 ! Human spumaretrovirus infection
GARD:0009580 ! Mesangial proliferative glomerulonephritis	DOID:4783 ! mesangial proliferative glomerulonephritis
GARD:0009584 ! Vibrio vulnificus infection	MESH:C536348 ! Vibrio vulnificus infection
GARD:0009596 ! Thrombocytopenia, acquired amegakaryocytic	MESH:C538172 ! Acquired amegakaryocytic thrombocytopenia
GARD:0009597 ! Postural orthostatic tachycardia syndrome	MESH:D054972 ! Postural Orthostatic Tachycardia Syndrome
GARD:0009612 ! Rud Syndrome	OMIM:308200 ! Rud Syndrome
GARD:0009618 ! Abrikosov's tumor	MESH:C535558 ! Abrikosov's tumor
GARD:0009619 ! Actinic cheilitis	MESH:C535669 ! Actinic cheilitis
GARD:0009620 ! Acute erythroid leukemia	OMIM:133180 ! Acute erythroid leukemia
GARD:0009621 ! Polyembryoma	Orphanet:180229 ! Polyembryoma
GARD:0009623 ! Tylosis	DOID:0050428 ! nonepidermolytic palmoplantar keratoderma
GARD:0009623 ! Tylosis	OMIM:144200 ! Epidermolytic palmoplantar keratoderma
GARD:0009623 ! Tylosis	OMIM:600962 ! Palmoplantar Keratoderma, Nonepidermolytic
GARD:0009636 ! Adenosarcoma of the uterus	MESH:C538232 ! Adenosarcoma of the uterus
GARD:0009637 ! Spastic diplegia cerebral palsy	MESH:C537945 ! Cerebral palsy, spastic, diplegic
GARD:0009648 ! Medial Medullary Syndrome	MESH:C536134 ! Medial Medullary Syndrome
GARD:0009652 ! Oncogenic osteomalacia	OMIM:615395 ! Infantile hypertrophic cardiomyopathy due to MRPL44 deficiency
GARD:0009652 ! Oncogenic osteomalacia	Orphanet:352540 ! Oncogenic osteomalacia
GARD:0009653 ! Anterior spinal artery stroke	MESH:C537776 ! Anterior spinal artery stroke
GARD:0009655 ! Hyperacusis	MESH:D012001 ! Hyperacusis
GARD:0009656 ! Pectus carinatum	MESH:D066166 ! Pectus Carinatum
GARD:0009660 ! Amaurosis fugax	MESH:D020757 ! Amaurosis Fugax
GARD:0009663 ! Buschke Lowenstein tumor	MESH:D062688 ! Buschke-Lowenstein Tumor
GARD:0009664 ! Primary malignant melanoma of the cervix	MESH:C536417 ! Primary malignant melanoma of the cervix
GARD:0009665 ! Gynandroblastoma	Orphanet:99914 ! Gynandroblastoma
GARD:0009667 ! HHV-6 encephalitis	MESH:C538117 ! Human Herpesvirus 6 encephalitis
GARD:0009671 ! Lipodermatosclerosis	MESH:C537026 ! Lipodermatosclerosis
GARD:0009684 ! Sandifer syndrome	Orphanet:71272 ! Sandifer syndrome
GARD:0009692 ! Congenital dislocation of the patella	Orphanet:295036 ! Congenital patella dislocation
GARD:0009712 ! Mycobacterium Marinum	MESH:C535526 ! Infection with Mycobacterium marinum
GARD:0009713 ! Levotransposition of the great arteries	Orphanet:216694 ! Congenitally corrected transposition of the great arteries
GARD:0009714 ! Littoral cell angioma of the spleen	MESH:C537031 ! Littoral cell angioma of the spleen
GARD:0009716 ! Aspergillus niger infection	MESH:C535390 ! Aspergillus niger infection
GARD:0009717 ! Left-sided gallbladder	MESH:C537001 ! Left-sided gallbladder
GARD:0009718 ! Fibrocartilaginous embolism	MESH:C537927 ! Fibrocartilaginous embolism
GARD:0009719 ! Orbital lymphoma	DOID:9986 ! orbit lymphoma
GARD:0009721 ! Herpes zoster ophthalmicus	MESH:D006563 ! Herpes Zoster Ophthalmicus
GARD:0009722 ! Congenital pseudoarthrosis	MESH:C535762 ! Congenital pseudoarthrosis
GARD:0009725 ! Nephrogenic Systemic Fibrosis	Orphanet:137617 ! Nephrogenic systemic fibrosis
GARD:0009731 ! Bobble-head doll syndrome	MESH:C536241 ! Bobble-head doll syndrome
GARD:0009739 ! Xanthogranulomatous sialadenitis	MESH:C536763 ! Xanthogranulomatous sialadenitis
GARD:0009745 ! Metagonimiasis	DOID:884 ! metagonimiasis
GARD:0009746 ! Opisthorchiasis	DOID:13768 ! opisthorchiasis
GARD:0009747 ! Cercarial Dermatitis	DOID:11302 ! cercarial dermatitis
GARD:0009766 ! Morvan's fibrillary chorea	Orphanet:83467 ! Morvan syndrome
GARD:0009767 ! Necrotizing enterocolitis	DOID:8677 ! perinatal necrotizing enterocolitis
GARD:0009777 ! Pulmonary arteriovenous malformation	OMIM:265140 ! Pulmonary arteriovenous fistula
GARD:0009779 ! Aerobic actinomyces infection	MESH:C538054 ! Aerobic actinomyces infection
GARD:0009789 ! Lymphangioma	DOID:1475 ! lymphangioma
GARD:0009790 ! Optic neuropathy, anterior ischemic	DOID:12010 ! anterior ischemic optic neuropathy
GARD:0009790 ! Optic neuropathy, anterior ischemic	OMIM:258660 ! Nonarteritic Anterior Ischemic Optic Neuropathy, Susceptibility to
GARD:0009805 ! Morgellons	MESH:D055535 ! Morgellons Disease
GARD:0009807 ! Dermatofibroma	DOID:4418 ! cutaneous fibrous histiocytoma
GARD:0009809 ! Enteropathy-associated T-cell lymphoma	Orphanet:86880 ! Enteropathy-associated T-cell lymphoma
GARD:0009815 ! Paragonimiasis	DOID:10699 ! paragonimiasis
GARD:0009824 ! Multifocal choroiditis	MESH:C537374 ! Multifocal choroiditis
GARD:0009847 ! Tabatznik syndrome	Orphanet:1350 ! Heart-hand syndrome type 2
GARD:0009851 ! Episodic ataxia	DOID:963 ! episodic ataxia
GARD:0009852 ! Nondystrophic myotonia	MESH:C536245 ! Nondystrophic myotonia
GARD:0009856 ! Pediatric Crohn's disease	DOID:8778 ! Crohn's disease
GARD:0009860 ! Amelogenesis imperfecta hypoplastic type, IG	OMIM:204690 ! Amelogenesis imperfecta nephrocalcinosis
GARD:0009872 ! Sideroblastic anemia pyridoxine-responsive autosomal recessive	OMIM:206000 ! Anemia, Sideroblastic, Pyridoxine-Responsive, Autosomal Recessive
GARD:0009891 ! Manz syndrome	MESH:C535709 ! Manz syndrome
GARD:0009908 ! Cryofibrinogenemia	MESH:C536218 ! Cryofibrinogenemia
GARD:0009948 ! Beriberi	DOID:13725 ! beriberi
GARD:0009959 ! West nile encephalitis	DOID:2365 ! West Nile encephalitis
GARD:0009967 ! Sertoli-leydig cell tumors	DOID:2997 ! Sertoli-Leydig cell tumor
GARD:0009967 ! Sertoli-leydig cell tumors	Orphanet:99917 ! Theca steroid-producing cell malignant tumor of ovary, not further specified
GARD:0009972 ! Congenital absence of the sternocleidomastoid muscle	MESH:C535977 ! Congenital absence of the sternocleidomastoid muscle
GARD:0009973 ! Splenic infarcts	DOID:2533 ! splenic infarction
GARD:0009974 ! Angiosarcoma of the breast	DOID:4511 ! breast angiosarcoma
GARD:0009994 ! Clark-Baraitser syndrome	OMIM:300602 ! Clark-Baraitser syndrome
GARD:0010008 ! Colpocephaly	MESH:C535973 ! Colpocephaly
GARD:0010014 ! Pellagra	DOID:8457 ! pellagra
GARD:0010022 ! Vagina, absence of	Orphanet:96269 ! Isolated partial vaginal agenesis
GARD:0010026 ! Piriformis syndrome	MESH:C531783 ! Hip socket neuropathy
GARD:0010030 ! Hemorrhagic shock and encephalopathy syndrome	MESH:C537254 ! Hemorrhagic shock and encephalopathy syndrome
